#[Semimajor Axis] from 2 to 4(AU), [Absolute Magnitude] under 9.7(mag) (equivalent to diameters D > 50km, assuming a visual geometric albedo of 0.09)
#object		ω(°)	Ω(°)	i(°)	e	q(AU)	a(AU)	M(°)	n(°/d)	Q(AU)	P(yrs)	H(mag)
(186) Celuta	315.6	14.8	13.2	0.15	2.01	2.36	275.2	0.272	2.72	3.63	8.9
(187) Lamberta	196.9	21.7	10.6	0.24	2.07	2.73	217.4	0.219	3.39	4.50	8.2
(188) Menippe	70.2	240.9	11.7	0.18	2.27	2.76	346.7	0.215	3.25	4.59	9.2
(189) Phthia	168.0	203.4	5.2	0.04	2.36	2.45	337.0	0.257	2.54	3.84	9.3
(19) Fortuna	182.2	211.1	1.6	0.16	2.05	2.44	298.9	0.258	2.83	3.82	7.1
(190) Ismene	271.5	175.5	6.2	0.17	3.32	3.99	134.9	0.124	4.65	7.96	7.6
(1902) Shaposhnikov	268.2	59.3	12.5	0.22	3.08	3.96	136.1	0.125	4.85	7.90	9.5
(191) Kolga	227.0	159.3	11.5	0.09	2.63	2.90	326.3	0.200	3.16	4.93	9.1
(192) Nausikaa	30.1	343.2	6.8	0.25	1.81	2.40	94.3	0.265	2.99	3.72	7.1
(193) Ambrosia	81.4	350.0	12.0	0.30	1.83	2.60	331.4	0.235	3.37	4.19	9.7
(194) Prokne	163.2	159.3	18.5	0.24	1.99	2.62	42.3	0.233	3.24	4.23	7.7
(195) Eurykleia	119.1	7.0	7.0	0.04	2.75	2.88	113.6	0.202	3.00	4.88	9.0
(196) Philomela	195.7	72.4	7.3	0.02	3.06	3.12	276.5	0.179	3.17	5.50	6.5
(197) Arete	246.5	81.6	8.8	0.16	2.29	2.74	20.4	0.217	3.19	4.53	9.2
(198) Ampella	88.6	268.4	9.3	0.23	1.90	2.46	131.1	0.256	3.02	3.86	8.3
(199) Byblis	180.2	88.6	15.5	0.18	2.60	3.17	86.6	0.175	3.74	5.64	8.5
(2) Pallas	310.0	173.1	34.8	0.23	2.13	2.77	206.3	0.213	3.41	4.62	4.1
(20) Massalia	256.6	206.1	0.7	0.14	2.07	2.41	214.3	0.264	2.75	3.74	6.5
(200) Dynamene	85.1	324.6	6.9	0.13	2.37	2.74	10.5	0.218	3.10	4.53	8.3
(201) Penelope	180.9	157.0	5.8	0.18	2.19	2.68	79.3	0.225	3.16	4.38	8.4
(202) Chryseis	1.3	136.8	8.9	0.10	2.76	3.07	11.2	0.183	3.39	5.38	7.4
(203) Pompeja	57.1	347.9	3.2	0.06	2.58	2.74	47.6	0.218	2.90	4.53	8.8
(204) Kallisto	55.4	205.1	8.3	0.18	2.20	2.67	230.6	0.226	3.14	4.36	8.9
(205) Martha	177.3	211.8	10.7	0.04	2.68	2.78	198.4	0.213	2.88	4.63	9.2
(206) Hersilia	299.7	145.2	3.8	0.04	2.64	2.74	349.0	0.217	2.84	4.54	8.7
(208) Lacrimosa	108.4	4.3	1.7	0.01	2.86	2.89	209.8	0.200	2.93	4.92	9.0
(209) Dido	248.4	0.7	7.2	0.06	2.97	3.15	311.7	0.176	3.33	5.59	8.2
(21) Lutetia	250.0	80.9	3.1	0.16	2.03	2.43	84.8	0.259	2.84	3.80	7.3
(210) Isabella	15.0	32.6	5.3	0.12	2.39	2.72	153.3	0.219	3.06	4.49	9.3
(211) Isolda	173.5	263.6	3.9	0.16	2.55	3.04	260.1	0.186	3.53	5.31	7.9
(212) Medea	100.9	313.5	4.3	0.10	2.79	3.12	28.1	0.179	3.44	5.50	8.3
(213) Lilaea	162.3	122.1	6.8	0.15	2.35	2.75	199.5	0.216	3.15	4.56	8.6
(214) Aschera	131.6	342.0	3.4	0.03	2.53	2.61	167.1	0.234	2.69	4.22	9.2
(215) Oenone	315.9	25.0	1.7	0.04	2.67	2.77	91.0	0.214	2.87	4.60	9.4
(216) Kleopatra	180.2	215.4	13.1	0.25	2.09	2.79	219.5	0.211	3.49	4.67	7.3
(218) Bianca	63.0	170.6	15.2	0.12	2.36	2.67	170.1	0.226	2.98	4.36	8.6
(219) Thusnelda	142.7	200.8	10.9	0.22	1.83	2.35	238.1	0.273	2.88	3.61	9.3
(22) Kalliope	354.9	66.1	13.7	0.10	2.62	2.91	359.4	0.199	3.20	4.96	6.5
(221) Eos	193.6	141.8	10.9	0.10	2.70	3.01	66.5	0.189	3.32	5.22	7.7
(222) Lucia	181.0	80.1	2.1	0.13	2.73	3.14	349.3	0.177	3.55	5.57	9.1
